T,Cp,H(@Fcc)
K,J/(mole K),
611,28.0288147,-2066.776426
613,28.04811972,-2027.95692
615,28.06745172,-1989.136749
617,28.0868082,-1950.315907
619,28.1061913,-1911.494393
621,28.12559946,-1872.672204
623,28.1450328,-1833.849338
625,28.16448981,-1795.025796
627,28.18397073,-1756.201578
629,28.20347514,-1717.376683
631,28.22300364,-1678.551115
633,28.24255401,-1639.724877
635,28.26212762,-1600.897971
637,28.28172405,-1562.070403
639,28.30134227,-1523.242178
641,28.32098144,-1484.413302
643,28.34064349,-1445.583781
645,28.36032653,-1406.753626
647,28.38003014,-1367.922843
649,28.39975626,-1329.091444
651,28.41950256,-1290.259437
653,28.43926906,-1251.426834
655,28.45905621,-1212.593649
657,28.47886415,-1173.759896
659,28.49869191,-1134.925585
661,28.51853917,-1096.090734
663,28.53840796,-1057.255357
665,28.55829599,-1018.419474
667,28.57820364,-979.5830991
669,28.59813161,-940.7462535
671,28.61807922,-901.9089554
673,28.63804628,-863.0712257
675,28.65803296,-824.233085
677,28.67804065,-785.3945571
679,28.69806492,-746.5556647
681,28.7181117,-707.716433
683,28.73817637,-668.8768854
685,28.7582609,-630.0370494
687,28.77836429,-591.1969523
689,28.79848843,-552.3566221
691,28.81863135,-513.5160888
693,28.83879427,-474.6753816
695,28.85897671,-435.8345319
697,28.8791789,-396.9935735
699,28.8993995,-358.1525392
701,28.91974261,-319.3114766
703,28.94010412,-280.4702565
705,28.96051931,-241.6289556
707,28.98099104,-202.7875791
709,29.00151745,-163.946131
711,29.02209949,-125.1046176
713,29.04273762,-86.26304503
715,29.06343053,-47.42142142
717,29.08417797,-8.579755935
719,29.10498375,30.26194318
721,29.12584316,69.10366395
723,29.14676107,107.9453958
725,29.16773423,146.7871249
727,29.18876266,185.6288382
729,29.20984855,224.4705217
731,29.2309913,263.312158
733,29.25219166,302.1537318
735,29.27344816,340.9952235
737,29.29476121,379.8366145
739,29.31613218,418.6778834
741,29.33756206,457.5190108
743,29.359048,496.359973
745,29.38059282,535.2007449
747,29.40219578,574.0413032
749,29.42385627,612.8816191
751,29.4455761,651.7216679
753,29.46735413,690.5614181
755,29.48919164,729.4008405
757,29.51108797,768.2399034
759,29.53304521,807.0785729
761,29.55506201,845.9168168
763,29.57713696,884.7545956
765,29.59927377,923.591877
767,29.62147052,962.4286207
769,29.6437296,1001.264784
771,29.66604722,1040.100328
773,29.68842682,1078.93521
775,29.71086763,1117.769381
777,29.73337019,1156.602801
779,29.7559371,1195.435419
781,29.77856421,1234.267186
783,29.80125486,1273.098051
785,29.82400836,1311.927961
787,29.84682641,1350.756864
789,29.86970777,1389.5847
791,29.89265224,1428.411415
793,29.9156607,1467.236947
795,29.93873298,1506.061235
797,29.96187234,1544.884219
799,29.98507632,1583.705831
801,30.00834481,1622.526004
803,30.03168078,1661.344673
805,30.05508135,1700.161763
807,30.07855067,1738.977205
809,30.10208448,1777.790923
811,30.12568739,1816.602839
813,30.14935818,1855.412877
815,30.1730958,1894.220957
817,30.196902,1933.026994
819,30.22077783,1971.830905
821,30.24472342,2010.632603
823,30.26873793,2049.432
825,30.29282181,2088.229002
827,30.31697711,2127.023485
829,30.34120227,2165.815451
831,30.36549836,2204.604671
833,30.38986687,2243.391145
835,30.41430821,2282.174736
837,30.43882008,2320.955338
839,30.46340682,2359.732846
841,30.48806541,2398.50715
843,30.51279783,2437.278136
845,30.53760553,2476.045692
847,30.56248672,2514.809698
849,30.58744388,2553.570036
851,30.61247457,2592.326584
853,30.63758263,2631.079216
855,30.66276614,2669.827805
857,30.68802775,2708.572221
859,30.71336515,2747.312332
861,30.73878165,2786.048
863,30.76427458,2824.77909
865,30.78984708,2863.505454
867,30.81550011,2902.226955
869,30.84123098,2940.943445
871,30.86704162,2979.654771
873,30.89293199,3018.360783
875,30.91890593,3057.061325
877,30.94496053,3095.756238
879,30.97109666,3134.445358
881,30.9973154,3173.128522
883,31.02361491,3211.805562
885,31.05000021,3250.476309
887,31.07646879,3289.140587
889,31.10302246,3327.798217
891,31.12966039,3366.449019
893,31.15638337,3405.092811
895,31.18319353,3443.729406
897,31.21008836,3482.358613
899,31.23707179,3520.980235
901,31.26414136,3559.594076
903,31.29129844,3598.199938
905,31.31854499,3636.797615
907,31.34587977,3675.386899
909,31.37330478,3713.967577
911,31.40081832,3752.539438
913,31.42842387,3791.102263
915,31.45611777,3829.655827
917,31.48390554,3868.199905
919,31.51178483,3906.734268
921,31.53975402,3945.258682
923,31.56782085,3983.772911
925,31.59597959,4022.276715
927,31.62422821,4060.769846
929,31.65257523,4099.252061
931,31.68101479,4137.723099
933,31.70278043,4176.182709
935,31.72653395,4214.618549
937,31.73997015,4253.031901
939,31.7536223,4291.415086
941,31.76748595,4329.767908
943,31.78155838,4368.090037
945,31.7958367,4406.381257
947,31.81031797,4444.641307
949,31.82499539,4482.869907
951,31.83987209,4521.066781
953,31.85494046,4559.231638
955,31.87019875,4597.364182
957,31.88564256,4635.464103
959,31.90127322,4673.531089
961,31.9170847,4711.564821
963,31.9330766,4749.564961
965,31.94924537,4787.531181
967,31.96558832,4825.463126
969,31.98210269,4863.360447
971,31.99878921,4901.222778
973,32.01564218,4939.04975
975,32.03265953,4976.840984
977,32.04984341,5014.596096
979,32.06718649,5052.31469
981,32.08469065,5089.996361
983,32.1023491,5127.640704
985,32.12016643,5165.247296
987,32.13813604,5202.815716
989,32.15625817,5240.345525
991,32.17453239,5277.836284
993,32.19295202,5315.287542
995,32.21152162,5352.69884
997,32.23023588,5390.069717
999,32.249092,5427.399693
1001,32.26808958,5464.688293
1003,32.28723973,5501.935022
1005,32.30650945,5539.139387
1007,32.32592508,5576.300881
1009,32.34546787,5613.418989
1011,32.36517457,5650.49319
1013,32.38498249,5687.522956
1015,32.40494174,5724.507751
1017,32.42501701,5761.447027
1019,32.44524912,5798.340236
1021,32.46558889,5835.186811
1023,32.48605707,5871.986185
1025,32.5066446,5908.737782
1027,32.52737014,5945.441017
1029,32.54820611,5982.095295
1031,32.56917311,6018.700013
1033,32.59026762,6055.254568
1035,32.6114667,6091.758336
1037,32.63278266,6128.210697
1039,32.65422431,6164.611014
1041,32.67578451,6200.958646
1043,32.69745397,6237.252945
1045,32.71922755,6273.493249
1047,32.74111938,6309.678893
1049,32.76314016,6345.809209
1051,32.78525854,6381.883508
1053,32.80747936,6417.901099
1055,32.82980581,6453.861286
1057,32.85224704,6489.763365
1059,32.87479241,6525.606613
1061,32.89742648,6561.390313
1063,32.92017707,6597.11373
1065,32.94300544,6632.776125
1067,32.9659708,6668.376752
1069,32.98900113,6703.914849
1071,33.01215569,6739.389657
1073,33.0353823,6774.800403
1075,33.0587216,6810.146302
1077,33.08213342,6845.426568
1079,33.10564385,6880.640403
1081,33.12924063,6915.786999
1083,33.15293374,6950.865543
1085,33.17670399,6985.875212
1087,33.20056281,7020.815175
1089,33.22451118,7055.684599
1091,33.24852951,7090.482629
1093,33.27263024,7125.208415
1095,33.29681224,7159.861088
1097,33.32105959,7194.439784
1099,33.3454004,7228.943613
1101,33.36979009,7263.371698
1103,33.39426251,7297.72314
1105,33.41881448,7331.997028
1107,33.44342295,7366.192457
1109,33.46808965,7400.308501
1111,33.49281624,7434.344241
1113,33.51761106,7468.298732
1115,33.54246402,7502.171032
